Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Governing Law,Most Favored Nation,Competitive Restriction Exception,Non-Compete,Exclusivity,No-Solicit Of Customers,No-Solicit Of Employees,Non-Disparagement,Termination For Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change Of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restrictions,Minimum Commitment,Volume Restriction,Ip Ownership Assignment,Joint Ip Ownership,License Grant,Non-Transferable License,Affiliate License-Licensor,Affiliate License-Licensee,Unlimited/All-You-Can-Eat-License,Irrevocable Or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap On Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not To Sue,Third Party Beneficiary
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement_Agreement,ENDORSEMENT AGREEMENT,"Lifeway Foods, Inc. (""Lifeway""); Ludmila Smolyansky (""Individual"")",3/14/16,3/14/16,,,,Illinois,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate_Agreement,AFFILIATE AGREEMENT,"Link Plus Corporation (""LKPL""); Axiometric, LLC. (""Axiometric"")",7/15/05,7/15/05,perpetual,,,Maryland,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development_Agreement,BUSINESS DEVELOPMENT AGREEMENT,"LIQUIDMETAL TECHNOLOGIES, INC. (""Liquidmetal""); EUTECTIX, LLC (""Eutectix"")",[]/[]/2020,[]/[]/2020,[]/[]/2025,succesive 1 year,180 days,Arizona,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply_Agreement,SUPPLY CONTRACT,"Shenzhen LOHAS Supply Chain Management Co., Ltd. (""buyer"",""End-User""); the seller",,,,,,People's Republic of China; United Nations Convention on Contract for the International Sale of Goods,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
"Loop_Industries,_Inc._-_Marketing_Agreement",Marketing Agreement,"Loop Industries, Inc. (""Loop""); Indorama Loop Technologies, LLC (""Joint Venture Company???); Loop and Joint Venture Company (individually a ""Party, together they are the ""Parties"")",09/[]/2018,09/[]/2018,perpetual,,,Delaware,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION_AGREEMENT,Collaboration Agreement,"MacroGenics, Inc. (""MacroGenics""); Green Cross Corp. (""Green Cross""); MacroGenics and Green Cross (individually as a ???Party??? or collectively as the ???Parties"")",06/[]/2010,06/[]/2010,,,,,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
"MACY_S,INC_05_11_2020-EX-99.4-JOINT_FILING_AGREEMENT",JOINT FILING AGREEMENT,VESA EQUITY INVESTMENT S.?? R.L.; EP INVESTMENT S.?? R.L.;  DANIEL K??ET??NSK??,20/11/05,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC_ALLIANCE_AGREEMENT,Strategic Alliance Agreement,"UTEK Corporation (""UTEK""); Manakoa Services Corporation (""MKOS"")",6/14/06,,6/14/07,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING_AGREEMENT,Outsourcing Base Agreement,"(International Business Machines Corporation (""IBM""); Manufacturers' Services Western US Operations, Inc. (""MSL""))",5/5/98,6/1/98,1/1/06,successive 12 months; successive 6 months;,6 months; 12 months,New York,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT_AGREEMENT",ENDORSEMENT AGREEMENT,"Bruce Jenner (""CELEBRITY""); The Right Solution (""COMPANY"")",3/1/11,,4/1/11,,,Nevada,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION_SERVICES_AGREEMENT,MARINE TRANSPORTATION AGREEMENT,"Martin Operating Partnership L.P. (""Owner""); Midstream Fuel Service LLC (""Charterer"")",12/23/03,12/23/03,12/23/06,successive 1 year,30 days,Texas,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING_AGREEMENT",CONSULTING AGREEMENT,"Gunston Consulting, LLC (""CONSULTANT""); Medalist Diversified REIT, Inc. (""REIT"", ""Company""); CONSULTANT and Company (collectively the ""Parties"")",20/1/03,20/1/03,21/1/03,12 months,,Virginia,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY_AGREEMENT,Supply Agreement,"MediWound Ltd. (""MediWound""); Challenge Bioproducts Corporation Ltd. (""CBC"")",1/11/01,,,,,New York,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION_AGREEMENT",COOPERATION AGREEMENT,"Meet Group, Inc. (""Company""); HARVEST SMALL CAP PARTNERS MASTER, LTD (""Investor"", collectively, the ???Investors??? or, with their respective affiliates and associates, the ???Investor Group???); HARVEST SMALL CAP PARTNERS, L.P.  (???Investor??? and collectively, the ???Investors??? or, with their respective affiliates and associates, the ???Investor Group???); HARVEST CAPITAL STRATEGIES LLC (""Investor??? and collectively, the ???Investors??? or, with their respective affiliates and associates, the ???Investor Group???)",6/27/17,,,,,Delaware,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP_AGREEMENT,SPONSORSHIP AGREEMENT,"Football Northwest LLC, (""FNW""); Mercata, Inc., (""Sponsor"")",7/12/99,7/19/99,,,,Washington,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
MERITLIFEINSURANCECO_06_19_2020-EX-10.XIV-MASTER_SERVICES_AGREEMENT,MASTER SERVICES AGREEMENT (,"Clear Capital (""Company""); Radial Spark, LLC (""Contractor"")",9/24/18,9/24/18,perpetual,,,Arizona,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No
"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT_FILING_AGREEMENT",JOINT FILING AGREEMENT,"ATHENE ANNUITY AND LIFE COMPANY; ATHENE ANNUITY & LIFE ASSURANCE COMPANY; ATHENE USA CORPORATION; ATHENE LIFE RE LTD.; ATHENE HOLDING LTD.; APOLLO INSURANCE SOLUTIONS GROUP LP; AISG GP LTD.; APOLLO LIFE ASSET, L.P.; APOLLO LIFE ASSET GP, LLC.; APOLLO CAPITAL MANAGEMENT, L.P.; APOLLO CAPITAL MANAGEMENT GP, LLC; APOLLO MANAGEMENT HOLDINGS, L.P.; APOLLO MANAGEMENT HOLDINGS GP, LLC; OMAHA EQUITY AGGREGATOR, L.P.; AP OMAHA ADVISORS, LLC; APOLLO HYBRID VALUE ADVISORS, L.P.; APOLLO HYBRID VALUE CAPITAL MANAGEMENT, LLC; APH HOLDINGS, L.P.; APOLLO PRINCIPAL HOLDINGS III GP, LTD.",20/6/07,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION_AGREEMENT",Promotion Agreement,"MiddleBrook Pharmaceuticals, Inc. (""MBRK""); DoctorDirectory.com, Inc (""DD""); (collectively ""Parties"")",10/3/02,10/3/02,13/3/02,successive 1 year,,North Carolina,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT_VENTURE_AGREEMENT",JOINT VENTURE AGREEMEN,"MJ Syndicated, Inc.; SIMPLY HERBAL; individually and collectively ""JVP""",11/27/18,11/27/18,11/30/19,,,Florida,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,"Sumitomo Mitsui Banking Corporation (???SMBC???); SMBCNikko Securities Inc. (???Nikko??? and together with SMBC, ???SMBC/Nikko???); Moelis & Company Holdings LP (???Moelis Holdings???); Moelis & Company Holdings GP LLC, (???Moelis General Partner???, and together with Moelis Holdings, the ???MoelisEntities???); SMBC, Nikko, Moelis Holdings and Moelis General Partner (each a ???party??? and collectively referred to as the ???parties"")",12/27/11,12/1/01,15/1/01,1 year,6 months,New York,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT_AGREEMENT,ENDORSEMENT AGREEMENT,"MOSSIMO, INC. (""Company""); DAVID DUVAL ENTERPRISES, INC (""Licensor"")",1/1/00,1/1/00,12/31/03,,,Ohio,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT_AGREEMENT,ENDORSEMENT AGREEMENT,"Movado Group, Inc. (""Company""); Trustees of the Grinberg Family Trust (""Trust"")",3/4/04,,perpetual,,,New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION_SERVICES_AGREEMENT,TRANSPORTATION SERVICES AGREEMENT,"Marathon Petroleum Company LP (""Shipper""); Marathon Pipe Line LLC (""MPL""); Marathon Petroleum Company LP and Marathon Pipe Line LLC (jointly as ""Parties"" and individually as a ""Party"")",15/11/06,15/11/06,30/11/06,2 5 years,6 months,Ohio,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE_AGREEMENT,FRANCHISE AGREEMENT,"Pretzel Time, Inc. doing business as Pretzel Time (""Pretzel Time""; ""FRANCHISOR""); Franchisee (""Franchisee"")",[]/[]/19[],[]/[]/19[],,5 years,6 months,Pennsylvania,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
MSCIINC_02_28_2008-EX-10.10-,Intellectual Property Agreement,"Morgan Stanley & Co. Incorporated (""MS""); MSCI Inc. (""MSCI""); MS and MSCI individually as ""Party"" and collectively as the ""Parties""",11/20/07,11/20/07,,,,New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller_Agreement_Premier_Addendum,RESELLER AGREEMENT,"McDATA Corporation (""McDATA""); MTI Technology Corporation (""Reseller"")",9/29/04,9/29/04,9/29/05,successive 1 year,,Colorado,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
"Magenta_Therapeutics,_Inc._-_Master_Development_and_Manufacturing_Agreement",Master Development and Manufacturing Agreement,"Magenta Therapeutics, Inc. (""Magenta""); Bachem Americas, Inc. (""Bachem"") (individually as a ???Party??? or collectively as the ???Parties???)",2/13/18,2/13/18,2/13/23,successive 1 year,,New York,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
"MetLife,_Inc._-_Remarketing_Agreement",Remarketing Agreement,"MetLife, Inc. (""Company""); Deutsche Bank Securities Inc. (""Deutsche Bank???, ""Remarketing Agents""); Deutsche Bank Trust Company America (""Stock Purchase Contract Agent"")",8/26/14,,perpetual,,,New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Microgenics_Corporation_-_Collaborative_Development_and_Commercialization_Agreement,Collaborative Development and Commercialization Agreement,"Microgenics Corporation (""Microgenics""); Achaogen Inc. (""Achaogen""); (individually ""Party"" and collectively ""Parties"")",4/26/16,4/26/16,perpetual,,,Delaware,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content_License_Agreement,                CONTENT LICENSE AGREEMENT,"Digicorp, Inc. (""Company""); New China Media LLC ((a/k/a New China Media LLC) (""NCM""); YGP, LLC (""YGP""); TWK Holdings, LLC. (""TWK""); (NCM, YGP and TWK individually and collectively referred to as ""CONTENT PROVIDER"")(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"")",8/2/06,8/2/06,10/2/06,successive 2 years,90 days,California,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No
Monsanto_Company_-_SECOND_A_R_EXCLUSIVE_AGENCY_AND_MARKETING_AGREEMENT,SECOND AMENDED AND RESTATED EXCLUSIVE AGENCY AND MARKETING AGREEMENT,"Monsanto Company (""Monsanto""); The Scotts Company LLC (""The Scotts Company"",""Agent"")",8/31/17,9/30/98,perpetual,,,Delaware,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark_License_Agreement,TRADEMARK LICENSE AGREEMENT,"Morgan Stanley Investment Management Inc. (""Licensor""); Morgan Stanley Direct Lending Fund (""Licensee"")",[]/[]/2019,[]/[]/2019,perpetual,,,New York,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding_Agreement,CO-BRANDING AGREEMENT,"Lucent Technologies Inc. (""Lucent""); mPhase Technologies Inc. (""mPhase"")(""a Party"" and collectively, ""the Parties"")",1/21/03,,1/21/04,successive 1 year,,New York,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding_Agreement,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT,"Marine MP, LLC (???Lender???); Arnold Schwarzenegger (???Endorser???); Fitness Publications, Inc. (???Fitness???); Lender, Endorser and Fitness (???AS Parties???);  MusclePharm Corporation (""MusclePharm"" or ""Company"")",7/26/13,7/26/13,7/22/16,7/22/2019; 7/22/2022,,California,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP_AGREEMENT,SPONSORSHIP AGREEMENT,"Excite, Inc. (""Excite""); N2K, Inc. (""Sponsor"")",9/23/97,9/23/97,9/23/99,,,New York,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR_AGREEMENT,DISTRIBUTOR AGREEMENT,"JOHNSON MATTHEY CATALOG COMPANY, INC. d/b/a ALFA AESAR (???ALFA AESAR???); Nanophase Technologies Corporation (???NTC???)",10/24/05,,10/24/10,2 years,6 months,"Delaware, Illinois",Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP_AGREEMENT,Sponsorship Agreement,"National Processing Company, (""NPC""); National City Bank of Kentucky, (""NCB"")",,6/30/96,6/30/01,successive 1 year,6 months,Kentucky,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NELNETINC_04_08_2020-EX-1-JOINT_FILING_AGREEMENT,JOINT FILING AGREEMENT,"Shelby J. Butterfield (""Co-Trustee"")",3/27/20,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR_AGREEMENT,DISTRIBUTOR AGREEMENT,"PPG Paints Trading (Shanghai) Co Ltd (""PPG Shanghai""); NeoMedia Micro Paint Repair (""DISTRIBUTOR"")",12/01/[],12/01/[],12/31/06,30 days,,People's Republic of China,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR_AGREEMENT_Amendment,FIRST AMENDMENT TO                                                                           DISTRIBUTOR AGREEMENT,"Peregrine/Bridge Transfer Corporation (""Licensor""); Neon Systems, Inc. (""Licensee"")",1/1/99,,3/31/04,successive 1 year,60 days,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR_AGREEMENT_New,DISTRIBUTOR AGREEMENT,"Peregrine/Bridge Transfer Corporation (""Licensor""); Neon Systems, Inc. (""Licensee"")",1/1/96,,1/1/98,successive 1 year,60 days,Texas,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT_TO_THE_DISTRIBUTOR_AGREEMENT_BETWEEN_INGRAM_MICRO_AND_NETGEAR",AMENDMENT                                      TO THE                               DISTRIBUTOR AGREEMENT                                      BETWEEN                                   INGRAM MICRO                                        AND                                      NETGEAR,"Ingram Micro (""Distributor""); NETGEAR, Inc. (""NETGEAR"")",10/1/96,10/1/96,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR_AGREEMENT",DISTRIBUTOR AGREEMENT,"Ingram Micro (""Distributor""); NETGEAR, Inc. (""NETGEAR"")",11/5/96,3/1/96,3/1/97,succesive 1 year,,California,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
"NETGEAR,INC_04_21_2003-EX-10.16-_AMENDMENT_#2_TO_THE_DISTRIBUTION_AGREEMENT",AMENDMENT #2 TO THE                              DISTRIBUTION AGREEMENT,"Ingram Micro (""Distributor""); NETGEAR, Inc. (""NETGEAR"")",7/15/98,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP_AGREEMENT,SPONSORSHIP AGREEMENT,"Excite, Inc. (""Excite""); NetGrocer, Inc.(""NetGrocer"")",12/15/97,12/15/97,12/15/99,,,California,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
NETZEEINC_11_14_2002-EX-10.3-MAINTENANCE_AGREEMENT,MAINTENANCE AGREEMENT,"Netzee, inc. (""Netzee""); The Bankers Bank (""Bankers Bank"")",,1/1/03,2/1/03,successive 1 year,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING_AGREEMENT,OUTSOURCING AGREEMENT,"WYZZ, Inc. and WYZZ Licensee, Inc. (collectively ""WYZZ""); Peoria, L.L.C. (""NEXSTAR"")",11/28/01,1/1/12,11/28/08,,,Maryland,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
NICELTD_06_26_2003-EX-4.5-OUTSOURCING_AGREEMENT,MANUFACTURING OUTSOURCING AGREEMENT,"Nice Systems Ltc. (""NICE""); Flextronics Israel Ltd. (""CONTRACTOR"")",1/21/02,1/21/02,1/21/05,3 years,6 months,Israel,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT_VENTURE_AGREEMENT",JOINT VENTURE AGREEMENT,Novo Integrated Sciences Inc. (???NVOS???); Harvest Gold Farms Inc. (???HGF???); NVOS and HGF (collectively as the ???Parties??? and separately as a ???Party???),12/19/19,12/19/19,12/19/24,,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NUVEEN_-_REMARKETING_AGREEMENT,REMARKETING AGREEMENT,"Nuveen AMT-Free Municipal Credit Income Fund (???Fund???); Nuveen Fund Advisors, LLC; Nuveen Investments, Inc. (???Investment Adviser???); [???] (""Remarketing Agent???)",,,perpetual,,,New York; Massachussets,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE_AGREEMENT,SERVICE AGREEMENT,"Fidelity Investments Institutional Operations Company, Inc. (""FIIOC""); New York Life Insurance and Annuity Corporation (""Company"")",1/1/98,1/1/98,,,,Massachusetts,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
NakedBrandGroupInc_20150731_POS_AM_on_S-1_EX-10.75_9196027_EX-10.75_Endorsement_Agreement,COLLABORATION & ENDORSEMENT AGREEMENT,"The Naked Brands Group, Inc (""Naked""); Wade Enterprises, LLC (""Wade Enterprises""); f/s/o Dwayne Wade (""Athlete"" and together with Wade Enterprises (collectively, ""Wade""); Wade Enterprises, Athlete and togetherwith Naked, (???Party??? and collectively, the ???Parties???)",6/15/15,6/15/15,6/15/19,three (3) years,,New York,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding_Agreement,CO-BRANDING AGREEMENT,"VerticalNet, Inc. (""VerticalNet""); Neoforma.com, Inc. (""Neoforma"")",11/19/99,11/19/99,11/19/01,successive 1 year,30 days,Pennsylvania,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing_Agreement__Supply_Agreement,MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products),"Dong-A ST Co., Ltd. (""Dong-A""); NeuroBo Pharmaceuticals, Inc. (""NeuroBo"")",9/28/18,9/28/18,,,,New York,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development_Agreement,License and Development Agreement,"NLS-1 Pharma AG (""Licensor"" or ""NLS""); Eurofarma Laboratorios S.A. (""Licensee"" or ""Eurofarma"")(""Party"" collectively the ""Parties"")",,,,,,Netherlands,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark_License_Agreement,TRADEMARK LICENSE AGREEMENT,"New Mountain Capital, LLC. (""Licensor""); NMF Senior Loan Fund I, Inc. (""Licensee"")(""party"" and collectively as the ""parties"")",[]/[]/2019,[]/[]/2019,perpetual,,,New York,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes
